name,pop,lat,lon,,
Oregon,8,43.97,-120.62,,
California,9,37.15,-119.54,,
Hawaii,11,19.81,-155.51,,
Washington,12,47.42,-120.6,,
New York,12,42.91,-75.6,,
Nevada,15,39.33,-116.62,,
Colorado,16,38.99,-105.51,,
Massachusetts,16,42.16,-71.49,,
Louisiana,19,30.86,-91.8,,
Nebraska,20,41.54,-99.81,,
Maryland,21,38.95,-76.67,,
New Jersey,25,40.11,-74.67,,
Georgia,25,32.63,-83.42,,
Alaska,26,63.35,-152.84,,
Connecticut,27,41.58,-72.75,,
Florida,27,28.46,-82.41,,
Texas,30,31.43,-99.28,,
Tennessee,31,35.86,-86.35,,
Utah,31,39.33,-111.66,,
Kentucky,31,37.53,-85.29,,
New Mexico,32,34.44,-106.13,,
Illinois,32,40.1,-89.15,,
Minnesota,33,46.32,-94.2,,
Arizona,34,34.21,-111.6,,
Virginia,34,37.52,-78.67,,
Idaho,38,44.3,-114.6,,
Pennsylvania,38,40.9,-77.83,,
Iowa,38,42.07,-93.49,,
Rhode Island,39,41.6,-71.53,,
Oklahoma,39,35.59,-97.49,,
Missouri,42,38.35,-92.46,,
Ohio,42,40.41,-82.71,,
Montana,45,47.05,-109.63,,
North Dakota,45,47.46,-100.46,,
Indiana,45,39.9,-86.28,,
Alabama,48,32.74,-86.84,,
North Carolina,48,35.54,-79.13,,
Michigan,51,44.84,-85.66,,
West Virginia,52,38.65,-80.62,,
Vermont,54,44.06,-72.67,,
Wisconsin,54,44.63,-89.71,,
South Dakota,56,44.45,-100.24,,
Mississippi,58,32.69,-89.66,,
Kansas,60,38.5,-98.38,,
Wyoming,60,42.99,-107.54,,
New Hampshire,61,43.67,-71.58,,
Arkansas,61,34.9,-92.44,,
Delaware,65,38.99,-75.45,,
Maine,69,45.39,-68.66,,
South Carolina,75,33.87,-80.85,,